order_id,fold,k,swap_count,label_delta,v11_boundary_margin,graph_time_boundary_margin,blend_boundary_margin
fc0bece9-a300-40b5-9c99-362067089b62,3,1,1,1,-0.006514404254747863,0.8513430335605979,0.16076779611924452
1fd294f1-879e-4391-b33f-7a9ca9ab1e1e,3,1,1,0,-0.016228878041490702,0.7721829457374212,0.13751142759539714
6a0c87ed-d5c7-4927-b23c-eb103d11575e,0,1,1,1,-0.08914852131914194,0.9540760339638901,0.11428026696104931
082985f8-6d1b-49a8-965c-4ee7d73318e1,4,8,1,0,-0.0074268499802850885,0.5586451981050305,0.1029571993963515
a1fc930f-40ee-4dcf-817a-f114e848ffc0,0,1,1,1,-0.09944552562861209,0.8662238227866492,0.08885999731236391
981975db-6472-4884-ae36-81495e7aee04,4,1,1,0,-0.0031813340374313714,0.4381997929089459,0.08288798571711217
e7e64f8f-accc-486d-8731-9a5277bd7a0f,3,4,1,-1,-0.09988158775253797,0.715456706541324,0.05910937963476515
6576a929-1d0b-4983-a2f6-b0daa4ff73d0,4,1,1,0,-0.1536759108612603,0.8499719149129027,0.04203541516470155
27a8c334-1074-446b-9a15-752cc3735e0b,0,8,2,-1,-0.033334984283361346,0.29055175943395134,0.03010994161540259
ab7a69a7-e2e8-4162-89d0-e64c2a205f3a,2,1,1,1,-0.01071941066637716,0.19714898899776057,0.02981492726812973
9ab5bedd-37ae-4902-85db-d31a9dcf500b,3,3,1,-1,-0.0558357062200282,0.35649907062656166,0.024569575265056764
d0c4f35e-4ec6-4985-9a2b-2c6a6dd02c4b,4,4,1,0,-0.010800424404616926,0.129765371378737,0.016609905773137146
86288eaf-b17f-4aaa-bd74-2644486bf9b3,3,1,1,-1,-0.11168884879288743,0.5083614857128314,0.009220966435727757
01ae591e-5b79-461f-ac12-fbdd2c3c92e4,0,8,3,1,-0.003993506060714136,0.025044919840837565,0.0030810039108153386
